"file","count"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\matchdetail\\fixtureEvents\\events\\bloc\\fixtureevent_bloc.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_status.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\quiz\\quiz_timer.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\components\\oppositeColor.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\LeaguesList.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\providers\\playerPreferencesDataProvider.dart","5"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\matchdetail\\match\\match_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\highlightTv_bloc\\highlightTv_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\providers\\teamDataProvider.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\teams\\team_profile_statistics\\team_profile_statistics_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\leagues\\pages\\top_teams_page.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\presentation\\player\\playerWidget_.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\providers\\playerProfileDataProvider.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\team\\team_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\leagues\\pages\\list_maker.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\functions\\download_and_save_image.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\quiz\\quiz_repository.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\standing_table_teams_list.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\progressbar.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\leagues_page\\top_yellow_card\\top_yellow_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\telebirr.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\Standing\\rank_name_others_line.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\tabbarItem.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\seasons.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\Standing\\firstRowForForm.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\language.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\leagues_page\\top_scorer\\top_scorers_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\leagues_page\\top_red\\top_red_bloc.dart","4"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\matches_page_highlights_page\\bloc\\highlights_page_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\leagues_page\\top_assist\\top_assist_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\highlightTv_bloc\\highlightTv_State.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\knockout\\Knockout_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\live_tv\\live_tv_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\details\\shot_widget.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\repositories\\podcasts_repository.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\title.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\enadamt\\podcast\\podcast_bloc.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\enadamt\\podcast\\podcast_cache_manager.dart","3"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\providers\\productDataProvider.dart","3"
